grin_accession,flower_color,height,hilum_color,lodging,maturity_group,oil,protein,pubescence_color,seed_quality,seed_weight,yield
FC1547,W,76,Bf,1.9,II,20,42.8,G,2.5,14.5,2.86
FC19976-1,P,89,Bf,2.5,IV,19.25,44.75,G,2.3,23,2.7
FC19976-2,P,79,Bf,3.5,IV,18.3,43.2,G,2.5,38,2.47
FC19976,W,58,Y,1.7,II,16.2,46.3,G,2.5,22.8,1.62
FC19979-1,W,86,Y,3.4,IV,19.1,43,G,3.5,26.4,2.21
FC19979-2,P,74,Br,2.6,III,19.05,43.95,T,2.3,25.9,1.8
FC19979-3,W,89,Bf,2.7,IV,19.8,41.3,G,2.3,17.6,2.39
FC19979-4,P,107,Bf,3,IV,18.5,43.3,G,3,20.7,2.27
FC19979-5,P,84,Y,2.8,IV,19.9,41.6,G,2.3,21.7,2.35
FC19979-6,W,74,Bf,3.2,IV,20.4,42,G,2.5,15.3,2.1
FC19979-7,W,99,Bf,3.7,IV,17.4,43,G,2.5,24,1.79
FC2108,P,89,Br,3.6,III,20.4,42.3,T,2.5,15.8,2.91
FC2109,P,81,Br,3.5,III,19.5,43.35,T,2.3,16,3.05
FC21340,W,74,Bl,3.5,0,19.1,40.3,T,2,28.4,1.65
FC29219,P,69,Y,1.2,II,20.6,43.85,G,2.5,16,2
FC29333,W,117,Bf,3,III,20.4,40.9,G,2.5,15,3.11
FC30233,P,69,Y,1.2,I,20.8,41.1,G,2,14.5,1.98
FC30265,W,158,Bl,4,V,18.6,43.9,T,3.3,11.6,1.82
FC30267,P,98,Gn,2,VII,18.1,46.4,Lt,3.5,13.4,1.76
FC30282,P,96,Bf,2.5,VII,17.85,44.1,G,3,15.5,1.52
FC30683,P,97,Br,5,0,17.7,45.8,T,2,15.3,1.26
FC30684,P,84,Tn,3,0,18.45,48.65,T,3,19.7,1.71
FC30685,W,48,Rbr,2,0,20.9,45.9,T,3.5,31.6,0.83
FC30687,P,53,Bl,2.5,0,15.7,51.2,T,3.5,17.9,0.62
FC30689,W,61,Y,1.5,0,17.3,42.5,T,3,22.7,0.69
FC30691,W,58,Y,1.5,0,17,47.3,T,4,25.1,0.54
FC30692,W,76,Br,2.5,0,18.1,46.65,T,2.5,19.8,1.46
FC30694,P,71,Y,2.5,0,20.25,44.05,G,4,23.4,1.56
FC30967,W,89,Bf,1.5,VII,17.9,45.65,G,2,12.3,1.75
FC31122,P,86,Y,2,I,17.2,44.6,G,2.5,18.8,1.92
FC31408,P,86,Br,2.1,II,19.8,41.3,T,2.3,13,2.33
FC31409,P,91,Br,2,II,19.7,41.4,T,2.3,12.5,2.24
FC31416,P,108,Bl,4,VII,16.35,44.1,T,2.5,9.8,1.45
FC31557,P,58,Bl,1.7,IV,18.4,42.9,Ng,2.3,22.8,1.82
FC31571,W,107,Bf,3.1,III,19.2,42.8,G,2.8,18.4,2.55
FC31572-3,P,112,Br,3.5,III,18.9,43.55,T,2.8,16.5,2.85
FC31572,W,73,Y,1.5,V,18.55,44.7,G,2.3,13.5,2.74
FC31579,W,64,Bf,1.6,III,19.95,42.85,G,2.3,18.2,2.55
FC31592,P,150,Bl,4,VIII,18.6,44.2,T,3.5,20.8,1.72
