Cultivar,PI_Num
(HC)Gnome,NA
00CY622138,NA
02JR310007,NA
02JR310007BC1,NA
02JR310007BC2,NA
02JR310007BC3,NA
02JR310061,NA
02JR318004,NA
02JR318004BC1,NA
02JR318004BC2,NA
02JR318004BC3,NA
02JR423003,NA
02JR423003BC1,NA
02JR423003BC2,NA
02JR423003BC3,NA
02KG219016,NA
02RM018047,NA
0351-29,NA
03DL090957,NA
03JR101916,NA
03JR102982,NA
03JR103829,NA
03JR309156,NA
03JR321086,NA
03JR321088,NA
03JR321088BC1,NA
03KG212010,NA
03KL015366,NA
03KL015644,NA
03KL015751,NA
03KL015826,NA
03RM893031,NA
03RM893092,NA
03RM893902,NA
04DL106306,NA
04KG128222,NA
04KL108370,NA
04KL108888,NA
04KL109914,NA
04KL109914BC1,NA
04KL109914BC2,NA
04KL109914BC3,NA
04RM822970,NA
059-903,PI 438471
05DL285328,NA
05DL345858,NA
05JR007045,NA
05JR210562,NA
05KL119276,NA
05KL134039,NA
05KL134976,NA
05KL135608,NA
0624-32,NA
06BR337018,NA
06BR381007,NA
06DL384689,NA
06DL480307,NA
06DL480732,NA
06DL480868,NA
06GK614011,NA
06GK615309,NA
06JR202581,NA
06JR205000,NA
06JR205288,NA
06JR205420,NA
06JR207459,NA
06JR208211,NA
06KG218440,NA
06KL162149,NA
06KL162978,NA
06KL163285,NA
06KL163375,NA
06KL167872,NA
06NB199076,NA
06NB199520,NA
06NB204846,NA
06NB204846BC1,NA
06RM934415,NA
07DL599351,NA
07RE700600,NA
07RG381326,NA
07SG920877,NA
08RST5-10,PI 668391
09SCNPOP 11-9,NA
09SG050328,NA
09SG050340,NA
0D032-3118,NA
103321,PI 632695
1045636,PI 673055
1045652,PI 669972
1045656,PI 674113
1045681,PI 673056
1045692,PI 671841
1045695,PI 673057
1045696,PI 674114
1045703,PI 673058
1045730,PI 674115
1045742,PI 669985
1045746,PI 673059
1045748,PI 673060
1045749,PI 669986
1045798,PI 673061
1045953,PI 674116
1045954,PI 674117
1045962,PI 673062
1045970,PI 673063
1046035,PI 674118
1046058,PI 674119
1046060,PI 674120
1046182,PI 674121
1046238,PI 673064
1046250,PI 673065
1046251,PI 669987
1046289,PI 673110
1046291,PI 673111
1046302,PI 674122
1046317,PI 673066
1046394,PI 673067
1046551,PI 674123
1046642,PI 673068
1046750,PI 673069
1046852,PI 673070
1046878,PI 674124
1046882,PI 669988
1046898,PI 674125
1046909,PI 673071
1046941,PI 669989
1046942,PI 674126
1046948,PI 674127
1046965,PI 669973
1046975,PI 669974
1050478,PI 673072
1050485,PI 673073
1050561,PI 675568
1050596,PI 675605
1050611,PI 675613
1050668,PI 675569
1050762,PI 675570
1050834,PI 675571
1050893,PI 674128
1050913,PI 675572
1050918,PI 674129
1050923,PI 674130
1050938,PI 674131
1050939,PI 675615
1050982,PI 675616
1051014,PI 673112
1051034,PI 675573
1051039,PI 673113
1051076,PI 674132
1051085,PI 674133
1051117,PI 675574
1051140,PI 674134
1051516,PI 674135
1051522,PI 673114
1051528,PI 673115
1051540,PI 674136
1051545,PI 674137
1051547,PI 674138
1051550,PI 674139
1051556,PI 674140
1051559,PI 674141
1051574,PI 674142
1051581,PI 674143
1051583,PI 674144
1051585,PI 674145
1051589,PI 674146
1051603,PI 674147
1051604,PI 676995
1051641,PI 678840
1051773,PI 675575
1051779,PI 675576
1051835,PI 675603
1051842,PI 675577
1051877,PI 675578
1051938,PI 675579
1052002,PI 673074
1052058,PI 673075
1052085,PI 675580
1052094,PI 675581
1052098,PI 675582
1052110,PI 675583
1052125,PI 673076
1052136,PI 675593
1052164,PI 674148
1052171,PI 674149
1052173,PI 674150
1056929,PI 678841
1056963,PI 675604
1057052,PI 675611
1057072,PI 678842
1057115,PI 676276
1057162,PI 675584
1057181,NA
1057255,PI 675608
1057282,NA
1057325,PI 675609
1057348,PI 678844
1057383,PI 675610
1057408,PI 678845
1057497,PI 675612
1058444,PI 678846
1058469,PI 678813
1058472,PI 675597
1058475,PI 675617
1058513,PI 678814
1058524,PI 675598
1058528,PI 678815
1058529,PI 678816
1058565,PI 675606
1058606,PI 678817
1058613,PI 675585
1058627,PI 675586
1058664,PI 675587
