Female,Male,Cultivar
Unspecified,Unspecified,149
Unspecified,Unspecified,605
Unspecified,Unspecified,2534
Unspecified,Unspecified,9401
(0351-29*Asgrow A4268),(Pioneer P9401*Asgrow A3127),9461
(Pioneer P2981*Asgrow A3127),(Pioneer P2981*(MV2E1*Resnik)),30438
Olympus,MON RR,40656
Asgrow A5403,Hutcheson,98601
Unspecified,Unspecified,98602
Unspecified,Unspecified,99507
Unspecified,Unspecified,133220
133220,Pioneer P93B82,133515
Gnome (6),Williams 82,(HC)Gnome
Unspecified,Unspecified,0351-29
Introduction,NA,059-903
Unspecified,Unspecified,0D032-3118
M10,Capital,11-54-132
(Lincoln (2)*Richland),Korean,11-54-240
Renville,Capital,11-54-53
Unspecified,Unspecified,1YT-75-206013
Arksoy,NA,2-40A
PI 196491,NA,201-14-20
Unknown,Unknown,201-8-29
(Merit*CM145),(M62-173*Holmberg 827-4),231-4-5-1
Various,NA,26-39M
059-903,Hardome,2S11
Unspecified,Unspecified,377-8-1
Unspecified,Unspecified,3D1-11
Forrest (2),(Govan*(Bragg*PI 229358)),4-74-6-3
Unspecified,Unspecified,40-3-2
Unspecified,Unspecified,435.TCS
CLOJ173-6-2,WW115926,4J105-3-4
Holladay,Manokin,5002T
Hutcheson,TN89-39,5601T
Unspecified,Unspecified,560T
Unspecified,Unspecified,574-5
CLOJ173-6-8,(OD032-3118*LG00-6293),5M20-2-5-2
Various,NA,6-40M
D49-2491,Various,629-22-27
Unspecified,Unspecified,680+993+994
Pagoda 2,Fiskeby III,751-8-1-15
680+993+994 (Muncheberg),201-14-20,840-2-7
Williams,Maple Presto,881-57
Tall,OAC88-09,92546-01td
Unspecified,Unspecified,95Y70
Unspecified,Unspecified,96LL2
G93-2225 (6),MON RR,97M50
Unspecified,Unspecified,98820-33
Hutcheson (5),MON RR,99VPI-120RR
Hutcheson (4),MON RR,99VPI-17RR
Unspecified,Unspecified,99VPI-67
Elgin (5),Williams 82,A Elgin BC
Hardin (5),PRX54-33-2,A Hardin BC(6)
Hardin (5),Williams 82,A Hardin BC(k)
Harper (6),Williams 82,A Harper BC
Capital,NA,A-100
Hardome,PI 189950,A-7
Introduction,NA,A.K.
A.K.,NA,A.K. (Harrow)
AgriPro AP1953,LN94-10470,A00-711013
A95-485020,IA2036,A00-711020
Pioneer P9233,IA2036,A00-711025
Pioneer P9233,IA2036,A00-711036
Pioneer P9233,IA2036,A00-711041
Pioneer P9321,IA2036,A00-711042
Pioneer P9233,A95-485020,A00-711063
AgriPro AP1953,IA2038,A00-712012
AgriPro AP1953,Pioneer P9321,A00-712013
Northrup King S20-91,AgriPro AP3355,A00-712040
Pioneer P9233,AgriPro AP1953,A00-712041
AgriPro AP1953,IA3010,A00-812031
Unspecified,Unspecified,A00-882130
A97-874014,A96-492041,A01-409003
A97-874007,AgriPro AP1995,A01-409031
Pioneer P9306,IA1009,A01-410009
A97-874014,A96-492041,A01-511017
A97-874007,AgriPro AP1995,A01-511020
Pioneer P9321,IA1009,A01-512030
U94-2306,IA1009,A01-512036
IA2050,IA1009,A01-512050
A97-874007,IA1009,A01-611005
A97-874014,A96-492058,A01-611037
A97-874014,Pioneer P9321,A01-612016
IA1008,Pioneer P9321,A01-612043
NE1900,Pioneer XB28V99,A02-136021
NE1900,Pioneer XB28V99,A02-136027
NE1900,Pioneer XB28V99,A02-136030
NE1900,Pioneer XB28V99,A02-136031
NE1900,Pioneer XB28V99,A02-236010
NE1900,Pioneer XB28V99,A02-237015
NE1900,Dairyland 94197,A02-336040
A98-983013,Dairyland 97026,A02-337046
Dairyland 88504-11,IA2053,A02-338013
Dairyland 88504-11,IA2053,A02-338039
IA2062,Pioneer XB28V99,A02-338043
Unspecified,Unspecified,A02-381008-891
A97-553018,Pioneer XB27U01,A02-381046
IA2064,Pioneer XB27U01,A02-381100
AgriPro AP93046-A95-3127E,IA2064,A04-444032
Dairyland 98822,A00-711025,A04-545015
Pioneer 93B86,A00-711022,A04-545045
Pioneer P93B66,Sygenta S20-F8,A04-645020
A00-711041,AgriPro X01138P77,A04-645031
Anoka,Mack,A1
AP9,NA,A13
Unspecified,Unspecified,A15025B011
Unspecified,Unspecified,A15025B020
Hark,C1453,A1564
BSR 101,CN210,A17
Dunfield,Linman 533,A18-231
M63-17 ,C1453,A2
BSR 101,"CN210, PI 549112",A20
A89-144003EMS-81,NA,A29
C1426,AP68-315,A3
Illini,Dunfield,A3-117
Illini,Dunfield,A3-118
Richland,Mandell,A3-127
Richland,Mandell,A3-128
Mukden,Dunfield,A3-1411-20
Mukden,Dunfield,A3-1411-27
Mukden,Dunfield,A3-1411-47
Dunfield,Richland,A3-163
Illini,Dunfield,A3-176
Illini,Mandell,A3-360-12
Illini,Dunfield,A3-61
Illini,Dunfield,A3-9
Illini,Dunfield,A3-92
Illini,Dunfield,A31-291
Asgrow A3127 (4),L24,A3127BC3F2-1
L15,AgriPro AP68-1016,A4
Mukden,Dunfield,A41-251
Mukden,Richland,A43-10
A45-251,NA,A43-107
A45-251,NA,A43-108
Mukden,Richland,A43-109
Illini,Dunfield,A43-117
Illini,Richland,A43-118
Richland,Mandell,A43-127
Richland,Mandell,A43-128
Dunfield,Linman 533,A43-14
Mukden,Dunfield,A43-1411-20
Mukden,Dunfield,A43-1411-27
Mukden,Dunfield,A43-1411-47
Richland,B. H. Manchu,A43-143
Dunfield,Linman 533,A43-149
Dunfield,Richland,A43-163
Mukden,Richland,A43-17
Mandarin,Richland,A43-1715-1
Mandarin,Richland,A43-1715-3
Illini,Dunfield,A43-176
Ontario,Richland,A43-2015-28
Richland,Linman 533,A43-32
Mukden,Richland,A43-33
Illini,Mandell,A43-360-12
Illini,Dunfield,A43-61
Illini,Dunfield,A43-9
Illini,Dunfield,A43-92
Mukden,B. H. Manchu,A43-93
Dunfield,Linman 533,A43-94
Mukden,Richland,A43K-884
A43-107,NA,A44-107-12
A43-107,NA,A44-107-4
A43-107,NA,A44-107-5
A43-107,NA,A44-107-7
A43-107,NA,A44-107-8
A43-108,NA,A44-108-12
A43-108,NA,A44-108-6
Dunfield,Linman 533,A44-1128-7
Mandarin,Richland,A44-1715-32
Ontario,Richland,A44-2015-3
Manchuria 13177,L34-12,A44-2728-2
Mukden,Richland,A45-251
Mukden,Linman 533,A45-268
A43-176,NA,A45-2683
Lincoln (2),Richland,A46-440
Lincoln (2),Richland,A46-549
Lincoln (2),Richland,A46K-1011
Lincoln (2),Richland,A46K-1329
Lincoln (2),Richland,A46K-1428-C4
Lincoln (2),Richland,A46K-1801
Lincoln (2),Richland,A46K-549
Lincoln (3),Richland,A47-1953
Lincoln (2),Richland,A47-6102
Lincoln (2),Richland,A47-6103
Lincoln (2),Richland,A47-6323
Lincoln (2),Richland,A47-6402
Lincoln (2),Richland,A47-6520
Lincoln (2),Richland,A47-6629
Lincoln (2),Richland,A47-6831
Lincoln (2),Richland,A47-6905
